archive_port,group,pv_name,category
4812,LBE2-CF11,LBE2-CF11-FAST:IMesCret,Vacuum
4812,LBE2-CF11,LBE2-CF11:IMes,Vacuum
4812,LBE2-CF12,LBE2-CF12-FAST:IMesCret,Vacuum
4812,LBE2-CF12,LBE2-CF12-SURV:IMeanHardMes,Vacuum
4812,LBE2-CF12,LBE2-CF12:IMes,Vacuum
4812,LBE2-D11,LBE2-D11:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-D11,LBE2-D11-HALL:BMesCret,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-D11,LBE2-D11-HALL:BMesMoy,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-D11,LBE2-D11:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-D11,LBE2-D11:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-ADAPTEUR:XMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-ADAPTEUR:YMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-DEBIMETR:Deb1Mes,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-DEBIMETR:Deb2Mes,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-GENEPULSE:Mode,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-GENEPULSE:OffsCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-GENEPULSE:PCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-GENEPULSE:PerCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-GENEPULSE:WidthCons,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-MAGTRON:PIncMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SD,SD-MAGTRON:PRefMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SOL11,LBE2-SOL11:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SOL11,LBE2-SOL11:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SOL11,LBE2-SOL11:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SOL12,LBE2-SOL12:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SOL12,LBE2-SOL12:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-SOL12,LBE2-SOL12:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4812,LBE2-TURBO,LBE2-EV1-GT11:Pwd,Vacuum
4812,LBE2-TURBO,LBE2-EV1-GT11:Temp,Vacuum
4812,LBE2-TURBO,LBE2-EV1-GT12:Pwd,Vacuum
4812,LBE2-TURBO,LBE2-EV1-GT12:Temp,Vacuum
4812,LBE2-TURBO,LBE2-EV1-GT13:Pwd,Vacuum
4812,LBE2-TURBO,LBE2-EV1-GT13:Temp,Vacuum
4812,LBE2-TURBO,LBE2-EV2-GT21:Pwd,Vacuum
4812,LBE2-TURBO,LBE2-EV2-GT21:Temp,Vacuum
4812,LBE2-TURBO,LBE2-EV3-GT34:Pwd,Vacuum
4812,LBE2-TURBO,LBE2-EV3-GT34:Temp,Vacuum
4812,LBE2-VIDE,LBE2-EV1-VA:State,Vacuum
4812,LBE2-VIDE,LBE2-EV1-VI:State,Vacuum
4812,LBE2-VIDE,LBE2-EV1-VP:State,Vacuum
4812,LBE2-VIDE,LBE2-EV1:JP1Mes,Vacuum
4812,LBE2-VIDE,LBE2-EV1:JS1Mes,Vacuum
4812,LBE2-VIDE,LBE2-EV2-VA:State,Vacuum
4812,LBE2-VIDE,LBE2-EV2-VI:State,Vacuum
4812,LBE2-VIDE,LBE2-EV2-VP:State,Vacuum
4812,LBE2-VIDE,LBE2-EV2:JP1Mes,Vacuum
4812,LBE2-VIDE,LBE2-EV2:JP2Mes,Vacuum
4812,LBE2-VIDE,LBE2-EV2:JS1Mes,Vacuum
4812,LBE2-VIDE,LBE2-EV2:JS2Mes,Vacuum
4812,SD-HT,SD-HT:Pwr,Source HV power supply
4812,SD-HT,SD-HT:IMes,Source HV power supply
4812,SD-HT,SD-HT:Pwr,Source HV power supply
4812,SD-HT,SD-HT:VAct,Source HV power supply
4812,SD-HT,SD-HT:VConsLect,Source HV power supply
4812,SD-HT-EI,SD-HT-EI:Pwr,Source HV power supply
4812,SD-HT-EI,SD-HT-EI:IMes,Source HV power supply
4812,SD-HT-EI,SD-HT-EI:Pwr,Source HV power supply
4812,SD-HT-EI,SD-HT-EI:VAct,Source HV power supply
4812,SD-HT-EI,SD-HT-EI:VConsLect,Source HV power supply
4812,SD-HT-RE,SD-HT-RE:Pwr,Source HV power supply
4812,SD-HT-RE,SD-HT-RE:IMes,Source HV power supply
4812,SD-HT-RE,SD-HT-RE:Pwr,Source HV power supply
4812,SD-HT-RE,SD-HT-RE:VAct,Source HV power supply
4812,SD-HT-RE,SD-HT-RE:VConsLect,Source HV power supply
4812,VXSTAT,iocVMELB2:caChannels,Vacuum station status
4812,VXSTAT,iocVMELB2:caClients,Vacuum station status
4812,VXSTAT,iocVMELB2:caLinksDiscon,Vacuum station status
4812,VXSTAT,iocVMELB2:cpuUsedPercent,Vacuum station status
4812,VXSTAT,iocVMELB2:fdUsedPercent,Vacuum station status
4812,VXSTAT,iocVMELB2:memoryUsedPercent,Vacuum station status
4813,LBEC-DC31-HO,LBEC-DC31-HO:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC31-HO,LBEC-DC31-HO:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC31-HO,LBEC-DC31-HO:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC32-VE,LBEC-DC32-VE:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC32-VE,LBEC-DC32-VE:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC32-VE,LBEC-DC32-VE:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC33-HO,LBEC-DC33-HO:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC33-HO,LBEC-DC33-HO:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC33-HO,LBEC-DC33-HO:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC34-VE,LBEC-DC34-VE:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC34-VE,LBEC-DC34-VE:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DC34-VE,LBEC-DC34-VE:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DIAGS,LBEC-CF34-FAST:IMesCret,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DIAGS,LBEC-CF34-SURV:IMeanHardMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DIAGS,LBEC-CF34:IMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DIAGS,LBEC-DCCT31-FAST:IMesCret,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DIAGS,LBEC-DCCT31-SURV:ICptHard1Mes,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-DIAGS,LBEC-DCCT31:IMes,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q31,LBEC-Q31:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q31,LBEC-Q31:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q31,LBEC-Q31:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q32,LBEC-Q32:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q32,LBEC-Q32:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q32,LBEC-Q32:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q33,LBEC-Q33:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q33,LBEC-Q33:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q33,LBEC-Q33:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q34,LBEC-Q34:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q34,LBEC-Q34:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-Q34,LBEC-Q34:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-SOL31,LBEC-SOL31:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-SOL31,LBEC-SOL31:IAct,"Injector/source beamline (misc: solenoids, quads, diags)"
4813,LBEC-SOL31,LBEC-SOL31:Pwr,"Injector/source beamline (misc: solenoids, quads, diags)"
