port|group|channel
4812|LBE2-CF11|LBE2-CF11-FAST:IMesCret
4812|LBE2-CF11|LBE2-CF11:IMes
4812|LBE2-CF12|LBE2-CF12-FAST:IMesCret
4812|LBE2-CF12|LBE2-CF12-SURV:IMeanHardMes
4812|LBE2-CF12|LBE2-CF12:IMes
4812|LBE2-D11|LBE2-D11:Pwr
4812|LBE2-D11|LBE2-D11-HALL:BMesCret
4812|LBE2-D11|LBE2-D11-HALL:BMesMoy
4812|LBE2-D11|LBE2-D11:IAct
4812|LBE2-D11|LBE2-D11:Pwr
4812|LBE2-SD|SD-ADAPTEUR:XMes
4812|LBE2-SD|SD-ADAPTEUR:YMes
4812|LBE2-SD|SD-DEBIMETR:Deb1Mes
4812|LBE2-SD|SD-DEBIMETR:Deb2Mes
4812|LBE2-SD|SD-GENEPULSE:Mode
4812|LBE2-SD|SD-GENEPULSE:OffsCons
4812|LBE2-SD|SD-GENEPULSE:PCons
4812|LBE2-SD|SD-GENEPULSE:PerCons
4812|LBE2-SD|SD-GENEPULSE:WidthCons
4812|LBE2-SD|SD-MAGTRON:PIncMes
4812|LBE2-SD|SD-MAGTRON:PRefMes
4812|LBE2-SOL11|LBE2-SOL11:Pwr
4812|LBE2-SOL11|LBE2-SOL11:IAct
4812|LBE2-SOL11|LBE2-SOL11:Pwr
4812|LBE2-SOL12|LBE2-SOL12:Pwr
4812|LBE2-SOL12|LBE2-SOL12:IAct
4812|LBE2-SOL12|LBE2-SOL12:Pwr
4812|LBE2-TURBO|LBE2-EV1-GT11:Pwd
4812|LBE2-TURBO|LBE2-EV1-GT11:Temp
4812|LBE2-TURBO|LBE2-EV1-GT12:Pwd
4812|LBE2-TURBO|LBE2-EV1-GT12:Temp
4812|LBE2-TURBO|LBE2-EV1-GT13:Pwd
4812|LBE2-TURBO|LBE2-EV1-GT13:Temp
4812|LBE2-TURBO|LBE2-EV2-GT21:Pwd
4812|LBE2-TURBO|LBE2-EV2-GT21:Temp
4812|LBE2-TURBO|LBE2-EV3-GT34:Pwd
4812|LBE2-TURBO|LBE2-EV3-GT34:Temp
4812|LBE2-VIDE|LBE2-EV1-VA:State
4812|LBE2-VIDE|LBE2-EV1-VI:State
4812|LBE2-VIDE|LBE2-EV1-VP:State
4812|LBE2-VIDE|LBE2-EV1:JP1Mes
4812|LBE2-VIDE|LBE2-EV1:JS1Mes
4812|LBE2-VIDE|LBE2-EV2-VA:State
4812|LBE2-VIDE|LBE2-EV2-VI:State
4812|LBE2-VIDE|LBE2-EV2-VP:State
4812|LBE2-VIDE|LBE2-EV2:JP1Mes
4812|LBE2-VIDE|LBE2-EV2:JP2Mes
4812|LBE2-VIDE|LBE2-EV2:JS1Mes
4812|LBE2-VIDE|LBE2-EV2:JS2Mes
4812|SD-HT|SD-HT:Pwr
4812|SD-HT|SD-HT:IMes
4812|SD-HT|SD-HT:Pwr
4812|SD-HT|SD-HT:VAct
4812|SD-HT|SD-HT:VConsLect
4812|SD-HT-EI|SD-HT-EI:Pwr
4812|SD-HT-EI|SD-HT-EI:IMes
4812|SD-HT-EI|SD-HT-EI:Pwr
4812|SD-HT-EI|SD-HT-EI:VAct
4812|SD-HT-EI|SD-HT-EI:VConsLect
4812|SD-HT-RE|SD-HT-RE:Pwr
4812|SD-HT-RE|SD-HT-RE:IMes
4812|SD-HT-RE|SD-HT-RE:Pwr
4812|SD-HT-RE|SD-HT-RE:VAct
4812|SD-HT-RE|SD-HT-RE:VConsLect
4812|VXSTAT|iocVMELB2:caChannels
4812|VXSTAT|iocVMELB2:caClients
4812|VXSTAT|iocVMELB2:caLinksDiscon
4812|VXSTAT|iocVMELB2:cpuUsedPercent
4812|VXSTAT|iocVMELB2:fdUsedPercent
4812|VXSTAT|iocVMELB2:memoryUsedPercent
4813|LBEC-DC31-HO|LBEC-DC31-HO:Pwr
4813|LBEC-DC31-HO|LBEC-DC31-HO:IAct
4813|LBEC-DC31-HO|LBEC-DC31-HO:Pwr
4813|LBEC-DC32-VE|LBEC-DC32-VE:Pwr
4813|LBEC-DC32-VE|LBEC-DC32-VE:IAct
4813|LBEC-DC32-VE|LBEC-DC32-VE:Pwr
4813|LBEC-DC33-HO|LBEC-DC33-HO:Pwr
4813|LBEC-DC33-HO|LBEC-DC33-HO:IAct
4813|LBEC-DC33-HO|LBEC-DC33-HO:Pwr
4813|LBEC-DC34-VE|LBEC-DC34-VE:Pwr
4813|LBEC-DC34-VE|LBEC-DC34-VE:IAct
4813|LBEC-DC34-VE|LBEC-DC34-VE:Pwr
4813|LBEC-DIAGS|LBEC-CF34-FAST:IMesCret
4813|LBEC-DIAGS|LBEC-CF34-SURV:IMeanHardMes
4813|LBEC-DIAGS|LBEC-CF34:IMes
4813|LBEC-DIAGS|LBEC-DCCT31-FAST:IMesCret
4813|LBEC-DIAGS|LBEC-DCCT31-SURV:ICptHard1Mes
4813|LBEC-DIAGS|LBEC-DCCT31:IMes
4813|LBEC-Q31|LBEC-Q31:Pwr
4813|LBEC-Q31|LBEC-Q31:IAct
4813|LBEC-Q31|LBEC-Q31:Pwr
4813|LBEC-Q32|LBEC-Q32:Pwr
4813|LBEC-Q32|LBEC-Q32:IAct
4813|LBEC-Q32|LBEC-Q32:Pwr
4813|LBEC-Q33|LBEC-Q33:Pwr
4813|LBEC-Q33|LBEC-Q33:IAct
4813|LBEC-Q33|LBEC-Q33:Pwr
4813|LBEC-Q34|LBEC-Q34:Pwr
4813|LBEC-Q34|LBEC-Q34:IAct
4813|LBEC-Q34|LBEC-Q34:Pwr
4813|LBEC-SOL31|LBEC-SOL31:Pwr
4813|LBEC-SOL31|LBEC-SOL31:IAct
4813|LBEC-SOL31|LBEC-SOL31:Pwr
4813|LBEC-SOL32|LBEC-SOL32:Pwr
4813|LBEC-SOL32|LBEC-SOL32:IAct
4813|LBEC-SOL32|LBEC-SOL32:Pwr
4813|LBEC-VIDE|LBEC-EV3-VA:State
4813|LBEC-VIDE|LBEC-EV3-VI:State
4813|LBEC-VIDE|LBEC-EV3-VP:State
4813|LBEC-VIDE|LBEC-EV3:JP1Mes
4813|LBEC-VIDE|LBEC-EV3:JP2Mes
4813|LBEC-VIDE|LBEC-EV3:JS1Mes
4813|LBEC-VIDE|LBEC-EV3:JS2Mes
4813|VXSTAT|iocVMELBC:caChannels
4813|VXSTAT|iocVMELBC:caClients
4813|VXSTAT|iocVMELBC:caLinksDiscon
4813|VXSTAT|iocVMELBC:cpuUsedPercent
4813|VXSTAT|iocVMELBC:fdUsedPercent
4813|VXSTAT|iocVMELBC:memoryUsedPercent
4814|Alimentations|LBE1-D11:IAct
4814|Alimentations|LBE1-D11:ICons
4814|Alimentations|LBE1-D11:IRampAct
4814|Alimentations|LBE1-D11:IRampCons
4814|Alimentations|LBE1-DC11-HO:IAct
4814|Alimentations|LBE1-DC11-HO:ICons
4814|Alimentations|LBE1-DC11-HO:IRampAct
4814|Alimentations|LBE1-DC11-HO:IRampCons
4814|Alimentations|LBE1-DC12-VE:IAct
4814|Alimentations|LBE1-DC12-VE:ICons
4814|Alimentations|LBE1-DC12-VE:IRampAct
4814|Alimentations|LBE1-DC12-VE:IRampCons
4814|Alimentations|LBE1-DC13-HO:IAct
4814|Alimentations|LBE1-DC13-HO:ICons
4814|Alimentations|LBE1-DC13-HO:IRampAct
4814|Alimentations|LBE1-DC13-HO:IRampCons
4814|Alimentations|LBE1-DC16-VE:IAct
4814|Alimentations|LBE1-DC16-VE:ICons
4814|Alimentations|LBE1-DC16-VE:Pwr
4814|Alimentations|LBE1-HX11:IAct
4814|Alimentations|LBE1-HX11:ICons
4814|Alimentations|LBE1-HX11:IRampAct
4814|Alimentations|LBE1-HX11:IRampCons
4814|Alimentations|LBE1-Q11:IAct
4814|Alimentations|LBE1-Q11:ICons
4814|Alimentations|LBE1-Q11:IRampAct
4814|Alimentations|LBE1-Q11:IRampCons
4814|Alimentations|LBE1-Q12:IAct
4814|Alimentations|LBE1-Q12:ICons
4814|Alimentations|LBE1-Q12:IRampAct
4814|Alimentations|LBE1-Q12:IRampCons
4814|Alimentations|LBE1-Q13:IAct
4814|Alimentations|LBE1-Q13:ICons
4814|Alimentations|LBE1-Q13:IRampAct
4814|Alimentations|LBE1-Q13:IRampCons
4814|Alimentations|LBE1-SOL11:IAct
4814|Alimentations|LBE1-SOL11:ICons
4814|Alimentations|LBE1-SOL11:IRampAct
4814|Alimentations|LBE1-SOL11:IRampCons
4814|Fentes|LBE1-FH13-D:PosLec
4814|Fentes|LBE1-FH13-G:PosLec
4814|LBE1-CF11|LBE1-CF11-FAST:IMesCret
4814|LBE1-CF11|LBE1-CF11-SURV:IMeanHardMes
4814|LBE1-CF11|LBE1-CF11:IMes
4814|LBE1-CF13|LBE1-CF13-FAST:IMesCret
4814|LBE1-CF13|LBE1-CF13-SURV:IMeanHardMes
4814|LBE1-CF13|LBE1-CF13:IMes
4814|LBE1-DIAGS|LBE1-D11-HALL:BMesCret
4814|LBE1-DIAGS|SI1-ECHANT:PosAct
4814|LBE1-SI1-GAZ-ET-PRESSION|SI1-GAZ1:VCons
4814|LBE1-SI1-GAZ-ET-PRESSION|SI1-GAZ2:VCons
4814|LBE1-SI1-GAZ-ET-PRESSION|SI1-PI-FAST:PMesCret
4814|LBE1-SI1-GAZ-ET-PRESSION|SI1-PR-FAST:PMesCret
4814|LBE1-SI1-TURBO|LBE1-EV1-GT11:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV1-GT11:Temp
4814|LBE1-SI1-TURBO|LBE1-EV1-GT12:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV1-GT12:Temp
4814|LBE1-SI1-TURBO|LBE1-EV1-GT13:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV1-GT13:Temp
4814|LBE1-SI1-TURBO|LBE1-EV1-GT14:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV1-GT14:Temp
4814|LBE1-SI1-TURBO|LBE1-EV1-GT15:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV1-GT15:Temp
4814|LBE1-SI1-TURBO|LBE1-EV2-GT21:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV2-GT21:Temp
4814|LBE1-SI1-TURBO|LBE1-EV2-GT22:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV2-GT22:Temp
4814|LBE1-SI1-TURBO|LBE1-EV2-GT24:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV2-GT24:Temp
4814|LBE1-SI1-TURBO|LBE1-EV2-GT25:Pwd
4814|LBE1-SI1-TURBO|LBE1-EV2-GT25:Temp
4814|LBE1-SI1-TURBO|SI1-GT:Pwd
4814|LBE1-SI1-TURBO|SI1-GT:Temp
4814|LBE1-VIDE|LBE1-EV1-VA:State
4814|LBE1-VIDE|LBE1-EV1-VI11:State
4814|LBE1-VIDE|LBE1-EV1-VP:State
4814|LBE1-VIDE|LBE1-EV1:JP1Mes
4814|LBE1-VIDE|LBE1-EV1:JP3Mes
4814|LBE1-VIDE|LBE1-EV1:JS1Mes
4814|LBE1-VIDE|LBE1-EV1:JS3Mes
4814|LBE1-VIDE|LBE1-EV2-VA:State
4814|LBE1-VIDE|LBE1-EV2-VI12:State
4814|LBE1-VIDE|LBE1-EV2-VP:State
4814|LBE1-VIDE|LBE1-EV2:JP1Mes
4814|LBE1-VIDE|LBE1-EV2:JP2Mes
4814|LBE1-VIDE|LBE1-EV2:JS1Mes
4814|LBE1-VIDE|LBE1-EV2:JS2Mes
4814|SI1-BPE|SI1-BPE:Pwr
4814|SI1-BPE|SI1-BPE:IAct
4814|SI1-BPE|SI1-BPE:ICons
4814|SI1-BPE|SI1-BPE:Pwr
4814|SI1-BPI|SI1-BPI:Pwr
4814|SI1-BPI|SI1-BPI:IAct
4814|SI1-BPI|SI1-BPI:ICons
4814|SI1-BPI|SI1-BPI:Pwr
4814|SI1-BPM|SI1-BPM:Pwr
4814|SI1-BPM|SI1-BPM:IAct
4814|SI1-BPM|SI1-BPM:ICons
4814|SI1-BPM|SI1-BPM:Pwr
4814|SI1-FOUR|SI1-FOUR:OnAct
4814|SI1-FOUR|SI1-FOUR:IMes
4814|SI1-FOUR|SI1-FOUR:OnAct
4814|SI1-FOUR|SI1-FOUR:PMes
4814|SI1-FOUR|SI1-FOUR:TMes
4814|SI1-FOUR|SI1-FOUR:VAct
4814|SI1-FOUR|SI1-FOUR:VMes
4814|SI1-HT|SI1-HT:Pwr
4814|SI1-HT|SI1-HT-FAST:IMesCret
4814|SI1-HT|SI1-HT-FAST:VMesCret
4814|SI1-HT|SI1-HT:IMes
4814|SI1-HT|SI1-HT:Pwr
4814|SI1-HT|SI1-HT:VAct
4814|SI1-HT|SI1-HT:VCons
4814|SI1-HT|SI1-KLYS:PHFAct
4814|SI1-HT-RE|SI1-HT-RE:Pwr
4814|SI1-HT-RE|SI1-HT-RE:IMes
4814|SI1-HT-RE|SI1-HT-RE:Pwr
4814|SI1-HT-RE|SI1-HT-RE:VAct
4814|SI1-KLYS|SI1:Stat3.BB
4814|SI1-KLYS|SI1-KLYS:PIMes
4814|SI1-KLYS|SI1-KLYS:PRMes
4814|SI1-KLYS|SI1:Stat3.BB
4814|SI1-POLAR|SI1-POLAR:OnAct
4814|SI1-POLAR|SI1-POLAR:IMes
4814|SI1-POLAR|SI1-POLAR:OnAct
4814|SI1-POLAR|SI1-POLAR:VAct
4814|SI1-POLAR|SI1-POLAR:VMes
4814|VXSTAT|iocVMELB1:caChannels
4814|VXSTAT|iocVMELB1:caClients
4814|VXSTAT|iocVMELB1:caLinksDiscon
4814|VXSTAT|iocVMELB1:cpuUsedPercent
4814|VXSTAT|iocVMELB1:fdUsedPercent
4814|VXSTAT|iocVMELB1:memoryUsedPercent
4815|SLAAF|LHE1-ACCT11-FAST:IFaMesCret
4815|SLAAF|LHE1-ACCT11-FAST:IFoMesCret
4815|SLAAF|LHE1-ACCT11:IMes
4815|SLAAF|LHE1-ACCT12-FAST:IFaMesCret
4815|SLAAF|LHE1-ACCT12-FAST:IFoMesCret
4815|SLAAF|LHE1-ACCT12:IMes
4815|SLAAF|LHE1-DCCT11-FAST:IMesCret
4815|SLAAF|LHE1-DCCT11:IMes
4815|SLAAF|LHE1-DCCT12-FAST:IMesCret
4815|SLAAF|LHE1-DCCT12:IMes
4815|SLAAF|LHE1-SLAAF:ACCTEcartMax
4815|SLAAF|LHE1-SLAAF:ACCTEcartMes
4815|SLAAF|LHE1-SLAAF:ACCTIBeamMes
4815|SLAAF|LHE1-SLAAF:ACCTNbPMes
4815|SLAAF|LHE1-SLAAF:DCCTEcartMax
4815|SLAAF|LHE1-SLAAF:DCCTEcartMes
4815|SLAAF|LHE1-SLAAF:DCCTIBeamMes
4815|SLAAF|LHE1-SLAAF:DCCTNbPMes
4815|SLAAF|LHE1-SLAAF:IBeamSurv
4815|SLAAF|LHE1-SLAAF:IntegraleSurv
4815|SLAAF|LHE1-SLAAF:ModeAcquisition
4815|SLAAF|LHE1-SLAAF:ModeIrradiation
4815|SLAAF|LHE1-SLAAF:NbPSurv
4815|SLAAF|LHE1-SLAAF:PourcentageSurv
